word,meaning
standing,heading to position or be positioned physically.
minority,the state of being a minor youth the period of a persons life prior to reaching adulthood.
significant,that which has significance a sign a token a symbol.
change,the process of becoming different.
compass,a magnetic or electronic device used to determine the cardinal directions usually magnetic or true north.
appointment,the act of appointing a person to hold an office or to have a position of trust
denotes,to indicate to mark.
middle,a centre midpoint.
local,a person who lives near a given place.
billiards,games a twoplayer cue sport played with two cue balls and one red ball on a snooker sized table.
exterior,the outside part parts or surface of something.
glyph,a figure carved in relief or incised especially representing a sound word or idea.
cases,an actual event situation or fact.
her,a female person or animal.
relaxation,the act of relaxing or the state of being relaxed the opposite of stress or tension the aim of recreation and leisure activities.
intersect,to cut into or between to cut or cross mutually to divide into parts.
negating,to deny the existence evidence or truth of to contradict.
switch,a bundle of thin sticks typically made of wood sometimes bond in such a way that binding can be moved so that it varies the tightness of the binding.
confirmed,to strengthen to make firm or resolute.
glassy,glass marble.
eyes,an organ through which animals see perceive surroundings via light.
mouth,the opening of a creature through which food is ingested.
patches,a piece of cloth or other suitable material sewed or otherwise fixed upon a garment to repair or strengthen it especially upon an old garment to cover a hole.
occurrence,an actual instance when a situation occurs an event or happening.
united,to bring together as one.
clauses,grammar a verb its necessary grammatical arguments and any adjuncts affecting them.
rise,to move or appear to move physically upwards relative to the ground.
painting,to apply paint to.
chance,an opportunity or possibility.
45,a gramophone record played at 45 revolutions per minute.
mamma,the milksecreting organ of female humans and other mammals which includes the mammary gland and the nipple or teat a breast an udder. plural mammae
along,in company together.
senses,any of the manners by which living beings perceive the physical world for humans sight smell hearing touch taste.
correlative,either of two correlative things.
used,to utilize or employ.
moving,to change place or posture to go in any manner from one place or position to another.
physic,a medicine or drug especially a cathartic or purgative.
plasma,a state of matter consisting of partially ionized gas and electrons
head,the part of the body of an animal or human which contains the brain mouth and main sense organs.
cities,a large settlement bigger than a town sometimes with a specific legal definition depending on the place.
virus,a submicroscopic noncellular structure consisting of a core of dna or rna surrounded by a protein coat that requires a living host cell to replicate and often causes disease in the host organism.
heading,to be in command of. see also head up.
soapy,resembling soap.
soft,a soft or foolish person an idiot.
intention,the goal or purpose behind a specific action or set of actions.
health,the state of being free from physical or psychological disease illness or malfunction wellness.
angles,a figure formed by two rays which start from a common point a plane angle or by three planes that intersect a solid angle.
hitting,heading physical to strike.
north,one of the four major compass points specifically 0 directed toward the north pole and conventionally upwards on a map abbreviated as n.
position,a place or location.
get,offspring.
dirt,soil or earth.
bright,an artists brush used in oil and acrylic painting with a long ferrule and a flat somewhat tapering bristle head.
challenge,a confrontation a dare.
inflammation,the act of inflaming kindling or setting on fire.
bat,any of the flying mammals of the order chiroptera usually small and nocturnal insectivorous or frugivorous.
fastening,to attach or connect in a secure manner.
inconsequential,something unimportant something that does not matter.
do.,that which was stated before the aforesaid the above the same likewise.
including,to bring into a group class set or total as a new part or member.
needles,a fine sharp implement usually for piercing such as sewing or knitting acupuncture tattooing body piercing medical injections etc.
naming,ditransitive to give a name to.
conscious,the part of the mind that is aware of itself the consciousness.
away,to depart to go to another place.
grasp,sometimes figurative grip.
path,a trail for the use of or worn by pedestrians.
sketch,a rapidly executed freehand drawing that is not intended as a finished work often consisting of a multitude of overlapping lines.
renders,stucco or plaster applied to walls mostly to outside masonry walls.
reaction,an action or statement in response to a stimulus or other event.
provided,to make a living earn money for necessities.
routine,a course of action to be followed regularly a standard procedure.
hole,a hollow place or cavity an excavation a pit an opening in or through a solid body a fabric etc. a perforation a rent a fissure.
similarity,closeness of appearance to something else.
containing,to hold inside.
rich,to enrich.
describing,to represent in words.
commercially,in a commercial manner a manner pertaining to commerce.
opposed,to attempt to stop the progression of to resist or antagonize by physical means or by arguments etc. to contend against.
us,personal me and at least one other person the objective case of we.
reflected,to bend back light etc. from a surface.
faces,the front part of the head of a human or other animal featuring the eyes nose and mouth and the surrounding area.
beneath,below or underneath.
department,a part portion or subdivision.
proper,something set apart for a special use.
stow,a place stead.
academic,usually capitalized a follower of plato a platonist.
succor,aid assistance or relief given to one in distress ministration.
enquiry,a question.
equipping,to supply with something necessary in order to carry out a specific action or task to provide with e.g. weapons provisions munitions rigging
decisions,the act of deciding.
benefit,an advantage help or aid from something.
principle,a fundamental assumption or guiding belief.
harmonious,showing accord in feeling or action.
pole,originally a stick now specifically a long and slender piece of metal or especially wood used for various construction or support purposes.
flaw,a flake fragment or shiver.
striped,to mark with stripes.
either,after a negative as well.
fungi,any member of the kingdom fungi a eukaryotic organism typically having chitin cell walls but no chlorophyll or plastids. fungi may be unicellular or multicellular.
half,one of two usually roughly equal parts into which anything may be divided or considered as divided.
kin,race family breed kind.
stroking,to move ones hand or an object such as a broom along a surface in one direction.
facility,the fact of being easy or easily done absence of difficulty simplicity.
honorific,a title. e.g. mister misses doctor professor
judicial,that branch of government which is responsible for maintaining the courts of law and for the administration of justice.
arbitrators,a person to whom the authority to settle or judge a dispute is delegated.
limited,to restrict not to allow to go beyond a certain bound to set boundaries.
some,of a measurement approximately roughly.
slab,a large flat piece of solid material a solid object that is large and flat.
breastfeed,to feed a baby milk via the breasts to suckle to nurse.
joint,the point where two components of a structure join but are still able to rotate.
vexing,to trouble aggressively to harass.
breadth,the extent or measure of how broad or wide something is.
wealthy,a rich person.
go,the act of going.
sufficient,equal to the end proposed adequate to what is needed enough
real,a commodity see realty.
copies,the result of copying an identical duplicate of an original.
ability,suitableness.
sensation,a physical feeling or perception from something that comes into contact with the body something sensed.
phenomenon,a thing or being event or process perceptible through senses or a fact or occurrence thereof.
specifically,in a specific manner applying to or naming a particular thing or things expressly explicitly
linen,thread or cloth made from flax fiber.
beer,an alcoholic drink fermented from starch material commonly barley malt often with hops or some other substance to impart a bitter flavor.
conveyance,an act or instance of conveying.
existence,the state of being existing or occurring beinghood.
recompense,an equivalent returned for anything given done or suffered compensation reward amends requital.
feels,of or relating to the emotions.
hospital,a large medical facility usually in a building with multiple floors where seriously ill or injured patients are given extensive medical andor surgical treatment.
suitable,having sufficient or the required properties for a certain purpose or task appropriate to a certain occasion.
email,a system for transferring messages from one computer to another usually through a network.
taxon,a group of one or more populations of an organism or organisms seen by taxonomists to form a unit.
ice,water in frozen solid form.
result,that which results the conclusion or end to which any course or condition of things leads or which is obtained by any process or operation consequence or effect.
adapted,to make suitable to make to correspond to fit or suit
accomplishing,to finish successfully.
oath,a solemn pledge or promise appealing to a deity a ruler or another entity not necessarily present to attest to the truth of a statement or sincerity of ones desire to fulfill a contract or promise.
race,a contest between people animals vehicles etc. where the goal is to be the first to reach some objective. example several horses run in a horse race and the first one to reach the finishing post wins
settle,to conclude or resolve something
feces,digested waste material typically solid or semisolid discharged from the bowels excrement.
changes,the process of becoming different.
photographic,telling the truth or giving a true result exact not defective or faulty
skill,capacity to do something well technique ability. skills are usually acquired or learned as opposed to abilities which are often thought of as innate.
sorrow,unhappiness woe
contrary,the opposite.
granted,ditransitive to give permission or wish
contract,an agreement between two or more parties to perform a specific job or work order often temporary or of fixed duration and usually governed by a written agreement.
rivers,a large and often winding stream which drains a land mass carrying water down from higher areas to a lower point oftentimes ending in another body of water such as an ocean or in an inland sea.
placed,to put an object or person in a specific location.
thinking,thought gerund of think.
it,one who is neither a he nor a she a creature a dehumanized being.
internal,inside of something
archetype,an original model of which all other similar concepts objects or persons are merely copied derivative emulated or patterned a prototype.
spoken,to communicate with ones voice to say words out loud.
tear,a hole or break caused by tearing.
fire,a usually selfsustaining chemical reaction involving the bonding of oxygen with carbon or other fuel with the production of heat and the presence of flame or smouldering.
refracted,of light to change direction as a result of entering a different medium
steps,an advance or movement made from one foot to the other a pace.
weights,physical matter material.
organism,a discrete and complete living thing such as animal plant fungus or microorganism.
alternative,a situation which allows a mutually exclusive choice between two or more possibilities a choice between two or more possibilities.
masonry,the art or occupation of a mason.
sour,the sensation of a sour taste.
opened,to make something accessible or allow for passage by moving from a shut position.
prosperity,the condition of being prosperous of having good fortune
running,to move swiftly.
ensures,to make a pledge to someone to promise guarantee someone of something to assure.
convey,to move something from one place to another.
propose,an objective or aim.
book,a collection of sheets of paper bound together to hinge at one edge containing printed or written material pictures etc.
programming,to enter a program or other instructions into a computer or other electronic device to instruct it to do a particular task.
indirect,an indirect cost.
sticks,an elongated piece of wood or similar material typically put to some use for example as a wand or baton.
obtain,to get hold of to gain possession of to procure to acquire in any way.
projectile,an object intended to be or having been fired from a weapon.
army,a large highly organized military force concerned mainly with ground rather than air or naval operations.
progression,the act of moving from one thing to another.
stating,to declare to be a fact.
language,a body of words and set of methods of combining them called a grammar understood by a community and used as a form of communication.
produced,to yield make or manufacture to generate.
grub,an immature stage in the life cycle of an insect a larva.
stiff,an average person usually male of no particular distinction skill or education often a working stiff or lucky stiff.
numerals,a symbol that is not a word and represents a number such as the arabic numerals 1 2 3 and the roman numerals i v x l.
removes,the act of removing something.
means,to lament.
done,auxiliary a syntactic marker.
strip,a long thin piece of land any long thin area.
adjective,grammar a word that modifies a noun or describes a nouns referent.
caused,to set off an event or action.
privileged,to grant some particular right or exemption to to invest with a peculiar right or immunity to authorize
fundamental,usually in the plural a leading or primary principle rule law or article which serves as the groundwork of a system an essential part
medically,for medical purposes.
weight,physical matter material.
repair,the act of repairing something.
nonprofessional,one who is not a professional an amateur.
designated,to mark out and make known to point out to indicate to show to distinguish by marks or description
correlation,a reciprocal parallel or complementary relationship between two or more comparable objects.
accumulative,characterized by accumulation serving to collect or amass
beach,the shore of a body of water especially when sandy or pebbly.
notably,focus as a pointed example in a notable manner.
out,a means of exit escape reprieve etc.
breathing,to draw air into inhale and expel air from exhale the lungs in order to extract oxygen and excrete waste gases.
mathematical,of or relating to mathematics
partners,someone who is associated with another in a common activity or interest.
come,coming arrival approach.
related,to tell in a descriptive way.
cooperating,to work or act together especially for a common purpose or benefit.
maybe,something that is possibly true.
samples,a part or snippet of something taken or presented for inspection or shown as evidence of the quality of the whole a specimen.
against,in a contrary direction to.
syndrome,a recognizable pattern of signs symptoms andor behaviours especially of a disease or medical or psychological condition.
still,a period of calm or silence.
nearest,physically close.
revolution,a political upheaval in a government or nation state characterized by great change.
scale,a ladder a series of steps a means of ascending.
recorder,an apparatus for recording a device which records.
sales,a hall.
mollusc,a softbodied invertebrate of the phylum mollusca typically with a hard shell of one or more pieces.
occurring,to happen or take place.
instrument,a device used to produce music.
kindling,to start a fire or light a torch a match coals etc..
smaller,not large or big insignificant few in number.
antagonistic,contending or acting against.
main,short for mainline.
tall,possibly nonstandard someone or something that is tall.
monomer,a relatively small molecule which can be covalently bonded to other monomers to form a polymer.
mode,one of several ancient greek scales.
knitting,to turn thread or yarn into a piece of fabric by forming loops that are pulled through each other. this can be done by hand with needles or by machine.
tapestry,a heavy woven cloth often with decorative pictorial designs normally hung on walls.
four,the digit or figure 4 an occurrence thereof.
snooker,a cue sport popular in the uk and other commonwealth of nations countries.
arguments,a fact or statement used to support a proposition a reason.
recognised,to match something or someone which one currently perceives to a memory of some previous encounter with the same person or thing.
prior,a highranking member of a monastery usually lower in rank than an abbot.
throng,a group of people crowded or gathered closely together.
comfortable,a stuffed or quilted coverlet for a bed a comforter.
pneumonia,an acute or chronic inflammation of the lungs caused by viruses bacteria or other microorganisms or sometimes by physical or chemical irritants.
leads,a heavy pliable inelastic metal element having a bright bluish color but easily tarnished both malleable and ductile though with little tenacity. it is easily fusible forms alloys with other metals and is an ingredient of solder and type metal. atomic number 82 symbol pb from latin plumbum.
similar,that which is similar to or resembles something else as in quality form etc.
placement,the act of placing or putting in place the act of locating or positioning the state of being placed.
simile,a figure of speech in which one thing is compared to another in the case of english generally using like or as.
able,easy to use.
strength,the quality or degree of being strong.
exercising,to exert for the sake of training or improvement to practice in order to develop.
nature,the natural world that which consists of all things unaffected by or predating human technology production and design. compare ecosystem.
they,the thirdperson plural a group of people animals plants or objects previously mentioned.
forces,strength or energy of body or mind active power vigour might capacity of exercising an influence or producing an effect.
ability,suitableness.
drawn,to move or develop something.
heredity,hereditary transmission of the physical and genetic qualities of parents to their offspring the biological law by which living beings tend to repeat their characteristics in their descendants.
directed,to manage control steer.
connection,the act of connecting.
oppose,to attempt to stop the progression of to resist or antagonize by physical means or by arguments etc. to contend against.
culture,the arts customs lifestyles background and habits that characterize a particular society or nation.
relating,to tell in a descriptive way.
layout,a structured arrangement of items within certain limits.
equipped,to supply with something necessary in order to carry out a specific action or task to provide with e.g. weapons provisions munitions rigging
bacteria,a type species or strain of bacterium.
atmosphere,the gases surrounding the earth or any astronomical body.
longer,having much distance from one terminating point on an object or an area to another terminating point usually applies to horizontal dimensions see usage notes below.
affirmed,to agree verify or concur to answer positively.
radical,historical 19thcentury britain a member of the most progressive wing of the liberal party someone favouring social reform but generally stopping short of socialism.
electronic, of or pertaining to an electron or electrons.
ordinarily,in accordance with normal custom or routine as a matter of established occurrence.
moral,of a narrative the ethical significance or practical lesson.
sparkling,to emit sparks to throw off ignited or incandescent particles
did,auxiliary a syntactic marker.
interstitial,a webpage usually carrying advertising displayed when leaving one content page for another.
assemblage,the process of assembling or bringing together.
latest,near the end of a period of time.
maximum,the highest limit
strength,the quality or degree of being strong.
two,the digitfigure 2.
structure,a cohesive whole built up of distinct parts.
farm,a place where agricultural and similar activities take place especially the growing of crops or the raising of livestock.
promise,an oath or affirmation a vow
reached,to extend stretch or thrust out for example a limb or object held in the hand.
qualities,level of excellence.
observing,to notice or view especially carefully or with attention to detail.
old,with the invariable plural only people who are old old beings the older generation taken as a group.
variables,something that is variable.
load,a burden a weight to be carried.
stated,to declare to be a fact.
protection,the process of keeping something or someone safe.
molecule,the smallest particle of a specific element or compound that retains the chemical properties of that element or compound two or more atoms held together by chemical bonds.
inside,the interior or inner part.
footprints,the impression of the foot in a soft substance such as sand or snow.
mainly,forcefully vigorously.
better,an entity usually animate deemed superior to another one who has a claim to precedence a superior.
compound,an enclosure within which workers prisoners or soldiers are confined
emulated,to attempt to equal or be the same as.
defiantly,in a defiant manner.
ear,the organ of hearing consisting of the pinna auditory canal eardrum malleus incus stapes and cochlea.
crime,a specific act committed in violation of the law.
insert,an image inserted into text.
camera,a device for taking still or moving pictures or photographs.
climate,an area of the earths surface between two parallels of latitude.
finishing,to complete something.
broadcast,a transmission of a radio or television programme intended to be received by anyone with a receiver.
antagonism,a strong natural dislike or hatred antipathy.
said,mentioned earlier aforesaid.
lath,a thin narrow strip fastened to the rafters studs or floor beams of a building for the purpose of supporting a covering of tiles plastering etc.
downward,moving sloping or oriented downward.
symbols,a character or glyph representing an idea concept or object.
recognition,the act of recognizing or the condition of being recognized matching a current observation with a memory of a prior observation of the same entity
enough,sufficiently.
palm,any of various evergreen trees from the family palmae or arecaceae which are mainly found in the tropics.
public,the people in general regardless of membership of any particular group.
correct,free from error true accurate.
hanging,to be or remain suspended.
materials,matter which may be shaped or manipulated particularly in making something.
spread,the act of spreading.
derogatory,a tradeline on a credit report that includes negative credit history.
technically,based on precise facts.
sail,a piece of fabric attached to a boat and arranged such that it causes the wind to drive the boat along. the sail may be attached to the boat via a combination of mast spars and ropes.
which,interrogative what one or ones of those mentioned or implied.
somewhat,more or less a certain quantity or degree a part more or less something.
often,frequent.
carefully,sorrowfully.
ct,an enclosed space a courtyard an uncovered area shut in by the walls of a building or by different buildings also a space opening from a street and nearly surrounded by houses a blind alley.
lifting,to raise or rise.
duration,an amount of time or a particular time interval.
comparing,to assess the similarities and differences between two or more things to compare x with y. having made the comparison of x with y one might have found it similar to y or different from y.
properties,something that is owned.
harmony,agreement or accord.
religious,a member of a religious order i.e. a monk or nun.
causing,to set off an event or action.
names,any nounal word or phrase which indicates a particular person place class or thing.
discomfort,mental or bodily distress.
heap,a crowd a throng a multitude or great number of people.
off.,one who gives or causes offense or does something wrong.
succession,an act of following in sequence.
distributing,to divide into portions and dispense.
accumulated,to heap up in a mass to pile up to collect or bring together either literally or figuratively
admit,to allow to enter to grant entrance to whether into a place into the mind or into consideration
next,the one that follows after this one.
channel,the physical confine of a river or slough consisting of a bed and banks.
extending,to increase in extent.
contrast,a difference in lightness brightness andor hue between two colours that makes them more or less distinguishable.
relevant,directly related connected or pertinent to a topic.
wooden,made of wood.
ill,often pluralized trouble distress misfortune adversity.
follows,sometimes attributive in billiards and similar games a stroke causing a ball to follow another ball after hitting it.
afford,to incur stand or bear without serious detriment as an act which might under other circumstances be injuriouswith an auxiliary as can could might etc. to be able or rich enough.
thoroughly,in a thorough or complete manner.
strive,striving earnest endeavor hard work.
invitation,the act of inviting solicitation the requesting of a persons company.
differences,the quality of being different.
members,one who officially belongs to a group.
exhaust,a system consisting of the parts of an engine through which burned gases or steam are discharged see also exhaust system.
cane,a plant with simple stems like bamboo or sugar cane or the stem thereof
cruising,to sail about especially for pleasure.
internet,any set of computer networks that communicate using the internet protocol. an intranet.
laughter,the sound of laughing produced by air so expelled any similar sound.
agreement,an understanding between entities to follow a specific course of conduct.
subsequent,following in time coming or being after something else at any time indefinitely.
pleasing,to make happy or satisfy to give pleasure to.
message,a communication or what is communicated any concept or information conveyed.
parents,one of the two persons from whom one is immediately biologically descended a mother or father.
pair,two similar or identical things taken together often followed by of.
organised,to arrange in working order.
groups,a number of things or persons being in some relation to one another.
thoughts,form created in the mind rather than the forms perceived through the five senses an instance of thinking.
earthen,made of earth or mud.
secured,to make safe to relieve from apprehensions of or exposure to danger to guard to protect.
inserted,to put in between or into.
true,the state of being in alignment.
unexceptional,not exceptional.
primary,a primary election a preliminary election to select a political candidate of a political party.
tattoo,an image made in the skin with ink and a needle.
attached,to fasten to join to literally and figuratively.
liking,to enjoy be pleased by favor be in favor of.
possibilities,the quality of being possible.
hat,a covering for the head often in the approximate form of a cone or a cylinder closed at its top end and sometimes having a brim and other decoration.
completed,to finish to make done to reach the end.
possessives,grammar the possessive case.
price,the cost required to gain possession of something.
latter,relating to or being the second of two items.
bad,error mistake.
suspected,to imagine or suppose something to be true or to exist without proof.
story,a sequence of real or fictional events or an account of such a sequence.
concerning,to relate or belong to to have reference to or connection with to affect the interest of to be of importance to.
pelvis,the large compound bone structure at the base of the spine that supports the legs. it consists of hip bone sacrum and coccyx.
humor,the quality of being amusing comical funny.
cauterise,to burn sear or freeze tissue using a hot iron electric current or a caustic agent.
rod,a straight round stick shaft bar cane or staff.
ferrule,a band or cap usually metal placed around a shaft to reinforce it or to prevent splitting.
belittle,to knowingly say that something is smaller or less important than it actually is especially as a way of showing contempt or deprecation.
third,the person or thing in the third position.
coalescence,the act of coalescing.
defense,the action of defending or protecting from attack danger or injury.
piping,to play music on a pipe instrument such as a bagpipe or a flute.
layer,a single thickness of some material covering a surface.
b.,breadth
typically,in a typical or common manner.
unspecified,not specified not thoroughly explained or detailed not adequately commented.
gerund,grammar a verbal form that functions as a verbal noun. in english a gerund has the same spelling as a present participle but functions differently however this distinction may be ambiguous or unclear and so is no longer made in some modern texts such as a comprehensive grammar of the english language and the cambridge grammar of the english language
essential,a necessary ingredient.
examining,to observe or inspect carefully or critically
elements,one of the simplest or essential parts or principles of which anything consists or upon which the constitution or fundamental powers of anything are based.
knife,a utensil or a tool designed for cutting consisting of a flat piece of hard material usually steel or other metal the blade usually sharpened on one edge attached to a handle. the blade may be pointed for piercing.
stimulate,to encourage into action.
matters,substance material.
form,heading physical to do with shape.
nocturnal,a person or creature that is active at night.
concurrence,agreement concurring.
aspect,any specific feature part or element of something.
province,a region of the earth or of a continent a district or country.
raccoon,a nocturnal omnivore native to north america typically with a mixture of gray brown and black fur a masklike marking around the eyes and a striped tail procyon lotor.
notice,the act of observing perception.
magnetic,of relating to operating by or caused by magnetism.
until,up to the time of something happening.
equally,manner in an equal manner in equal shares or proportion with equal and impartial justice evenly
family,a group of people who are closely related to one another by blood marriage or adoption kin for example a set of parents and their children an immediate family.
exhibit,an instance of exhibiting.
grapes,a small round smoothskinned edible fruit usually purple red or green that grows in bunches on vines of genus vitis.
case,an actual event situation or fact.
providing,to make a living earn money for necessities.
numerically,in a numerical manner.
provide,to make a living earn money for necessities.
demeanor,the social nonverbal behaviours such as body language and facial expressions that are characteristic of a person.
body,physical frame.
spent,to pay out money.
participated,to join in to take part to involve oneself in something.
experience,the effect upon the judgment or feelings produced by any event whether witnessed or participated in personal and direct impressions as contrasted with description or fancies personal acquaintance actual enjoyment or suffering.
stock,a store or supply.
relating,to tell in a descriptive way.
rectitude,straightness the state or quality of having a constant direction and not being crooked or bent.
keys,an object designed to open and close a lock.
mental,of or relating to the mind or an intellectual process.
herbaceous,not woody lacking lignified tissues.
afraid,usually used predicatively not attributively be afraid impressed with fear or apprehension in fear.
restrain,to control or keep in check.
plants,an organism that is not an animal especially an organism capable of photosynthesis. typically a small or herbaceous organism of this kind rather than a tree.
consume,to use up.
graphic,a drawing or picture.
welfare,health safety happiness and prosperity wellbeing in any respect.
greener,having green as its color.
precise,nnes or european union documents to make or render precise to specify.
doctor,a physician a member of the medical profession one who is trained and licensed to heal the sick or injured. the final examination and qualification may award a doctor degree in which case the postnominal letters are d.o. dpm m.d. dmd dds in the us or mbbs in the uk.
definition,a statement of the meaning of a word or word group or a sign or symbol dictionary definitions.
beforehand,in comfortable circumstances as regards property forehanded.
converse,free verbal interchange of thoughts or views conversation chat.
while,an uncertain duration of time a period of time.
lowest,situated close to or even below the ground or another normal reference plane not high or lofty.
unnamed,not having a name.
happen,to occur or take place.
restores,to reestablish or bring back into existence.
crops,a plant especially a cereal grown to be harvested as food livestock fodder or fuel or for any other economic purpose.
ends,the terminal point of something in space or time.
beginning,the act of doing that which begins anything commencement of an action state or space of time entrance into being or upon a course the first act effort or state of a succession of acts or states.
excluding,to bar someone from entering to keep out.
facial,a personal care beauty treatment which involves cleansing and moisturizing of the human face.
clinical,a medical students session spent in a realworld nursing environment.
formal,formalin.
tempo,a frequency or rate.
uncertainty,doubt the condition of being uncertain or without conviction.
aboriginal,an aboriginal inhabitant of australia aborigine.
customs,in the plural the duties or taxes imposed on imported or exported goods.
attitude,the position of the body or way of carrying oneself.
considerable,a thing to be considered consideration.
misfortune,bad luck
training,to practice an ability.
concept,an abstract and general idea an abstraction.
fibreglass,silica based glass extruded into fibers that possess a length at least 1000 times greater than their width.
several,an area of land in private ownership as opposed to common land.
token,something serving as an expression of something else.
put,a right to sell something at a predetermined price.
metering,to measure with a metering device.
drains,a conduit allowing liquid to flow out of an otherwise contained volume a plughole uk
variable,something that is variable.
occasionally,on the occasion of something else happening incidentally by the way.
matching,to agree to be equal to correspond.
anxiety,an unpleasant state of mental uneasiness nervousness apprehension and obsession or concern about some uncertain event.
thereof,of this that or it.
statements,a declaration or remark.
flightless,unable to fly. usually used with birds such as the penguin ostrich and emu.
yielding,to pay give in payment repay recompense reward requite.
from,used to indicate source or provenance.
ground,the surface of the earth as opposed to the sky or water or underground.
dictate,an order or command.
serial,a work such as a work of fiction published in installments often numbered and without a specified end.
formally,in a formal manner.
invented,to design a new process or mechanism.
procured,to acquire or obtain.
fish,a coldblooded vertebrate animal that lives in water moving with the help of fins and breathing with gills.
convictions,a firmly held belief.
vehicles,a conveyance a device for carrying or transporting substances objects or individuals.
sold,ditransitive to transfer goods or provide services in exchange for money.
defined,to determine with precision to mark out with distinctness to ascertain or exhibit clearly.
socially,in a social manner sociably.
keeping,to continue in a course or mode of action not to intermit or fall from to uphold or maintain.
star,any small luminous dot appearing in the cloudless portion of the night sky especially with a fixed location relative to other such dots.
within,in the context of which the present document or ruling is made.
nor,and not introducing a negative statement without necessarily following one.
box,senses relating to a threedimensional object or space.
detail,something small enough to escape casual notice.
stab,an act of stabbing or thrusting with an object.
racing,to take part in a race in the sense of a contest.
opera,a theatrical work combining drama music song and sometimes dance.
filters,a device which separates a suspended dissolved or particulate matter from a fluid solution or other substance any device that separates one substance from another.
husband,the master of a house the head of a family a householder.
dog,a mammal canis familiaris or canis lupus familiaris that has been domesticated for thousands of years of highly variable appearance due to human breeding.
suppose,to take for granted to conclude with less than absolute supporting data to believe.
small,any part of something that is smaller or slimmer than the rest now usually with anatomical reference to the back.
restraining,to control or keep in check.
held,to grasp or grip.
seated,to put an object into a place where it will rest to fix to set firm.
proximity,closeness the state of being near as in space time or relationship.
object,a thing that has physical existence.
using,to utilize or employ.
construct,something constructed from parts.
adequately,in an adequate manner.
something,an object whose nature is yet to be defined.
comment,a spoken or written remark.
create,to bring into existence sometimes in particular
sensitive,a person with a paranormal sensitivity to something that most cannot perceive.
doctor,a physician a member of the medical profession one who is trained and licensed to heal the sick or injured. the final examination and qualification may award a doctor degree in which case the postnominal letters are d.o. dpm m.d. dmd dds in the us or mbbs in the uk.
propelled,to provide an impetus for motion or physical action to cause to move in a certain direction to drive forward.
treated,to negotiate discuss terms bargain for or with.
enforce,to keep up impose or bring into effect something not necessarily by force.
designed,to plan and carry out a picture work of art construction etc..
soldiers,a member of an army of any rank.
relieve,to ease a person persons thoughts etc. from mental distress to stop someone feeling anxious or worried to alleviate the distress of.
studs,a male animal especially a stud horse stallion kept for breeding.
mark,heading boundary land within a boundary.
enquire,to make an enquiry.
resembling,to be like or similar to something to represent as similar.
additive,a substance added to another substance or product to produce specific properties in the combined substance.
rounded,to shape something into a curve.
band,a strip of material used for strengthening or coupling.
connected,of an object to join to another object to attach or to be intended to attach or capable of attaching to another object.
popular,a person who is popular especially at a school.
earn,to gain success reward recognition through applied effort or work.
sight,in the singular the ability to see.
pitch,a sticky gummy substance secreted by trees sap.
water,a substance of molecular formula h₂o found at room temperature and pressure as a clear liquid it is present naturally as rain and found in rivers lakes and seas its solid form is ice and its gaseous form is steam.
model,a person who serves as a subject for artwork or fashion usually in the medium of photography but also for painting or drawing.
amino,the amine functional group.
procession,the act of progressing or proceeding.
bias,inclination towards something predisposition partiality prejudice preference predilection.
conflagration,a large fire extending to many objects or over a large space a general burning.
oxygen,the chemical element symbol o with an atomic number of 8 and relative atomic mass of 15.9994. it is a colorless and odorless gas.
retail,the sale of goods directly to the consumer encompassing the storefronts mailorder websites etc. and the corporate mechanisms branding advertising etc. that support them.
height,the distance from the base of something to the top.
writing,graphism of symbols such as letters that express some meaning.
worried,thinking about unpleasant things that have happened or that might happen feeling afraid and unhappy.
transaction,the act of conducting or carrying out business negotiations plans.
during,to last continue endure.
replaying,to play again.
acquisition,the act or process of acquiring.
whereas,a clause as in legal documents stating whereas.
burden,a heavy load.
commencement,the first existence of anything act or fact of commencing
signify,to create a sign out of something.
letter,a symbol in an alphabet.
hired,to obtain the services of in return for fixed payment.
glossy,a glossy magazine.
happiness,the emotion of being happy joy.
candidate,a person who is running in an election.
perspective,a view vista or outlook.
surge,a sudden transient rush flood or increase.
followed,to go after to pursue to move behind in the same path or direction.
minute,a unit of time equal to sixty seconds onesixtieth of an hour.
putting,to place something somewhere.
positioned,to put into place.
competitive,capable of competing successfully
female,one of the female feminine sex or gender.
communicated,to impart
sleeping,to rest in a state of reduced consciousness.
decorating,to furnish with decorations.
youth,the quality or state of being young.
crystals,a solid composed of an array of atoms or molecules possessing longrange order and arranged in a pattern which is periodic in three dimensions.
proportionally,in proportion in due degree adapted relatively.
thorough,a furrow between two ridges to drain off the surface water.
sleeves,the part of a garment that covers the arm.
semicircular,in the shape of half of a circle or a semicircle.
satisfaction,a fulfilment of a need or desire.
temporal,chiefly in the plural anything temporal or secular a temporality.
adorn,adornment
anatomical,of or relating to anatomy or dissection.
accident,an unexpected event with negative consequences occurring without the intention of the one suffering the consequences.
motor,a machine or device that converts other energy forms into mechanical energy or imparts motion.
dimension,a single aspect of a given thing.
persons,an individual usually a human being.
struck,sometimes with out or through to delete or cross out to scratch or eliminate.
boundary,the dividing line or location between two areas.
functions,what something does or is used for.
striking,sometimes with out or through to delete or cross out to scratch or eliminate.
consolidating,to combine into a single unit to group together or join.
lightness,the condition of being illuminated
selfsame,precisely the same the very same identical.
